-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature_names
-- id	names
NP_414563.1	ECK0023	alternate
NP_414563.1	16128016	alternate
NP_414563.1	948449	alternate
NP_414563.1	b0022	alternate
NP_414563.1	NP_414563	alternate
NP_414564.1	rpsT	primary
NP_414564.1	b0023	alternate
NP_414564.1	944759	alternate
NP_414564.1	16128017	alternate
NP_414564.1	NP_414564.1	alternate
NP_414564.1	ECK0024	alternate
NP_414564.1	sup	alternate
NP_414564.1	JW0022	alternate
NP_414564.1	16128017	alternate
NP_414564.1	944759	alternate
NP_414564.1	b0023	alternate
NP_414564.1	NP_414564	alternate
NP_414565.1	yaaY	primary
NP_414565.1	b0024	alternate
NP_414565.1	949128	alternate
NP_414565.1	16128018	alternate
NP_414565.1	NP_414565.1	alternate
NP_414565.1	ECK0025	alternate
NP_414565.1	JW5003	alternate
NP_414565.1	16128018	alternate
NP_414565.1	949128	alternate
NP_414565.1	b0024	alternate
NP_414565.1	NP_414565	alternate
NP_414566.1	ribF	primary
NP_414566.1	b0025	alternate
NP_414566.1	949129	alternate
NP_414566.1	16128019	alternate
NP_414566.1	NP_414566.1	alternate
NP_414566.1	ECK0026	alternate
NP_414566.1	yaaC	alternate
NP_414566.1	JW0023	alternate
NP_414566.1	16128019	alternate
NP_414566.1	949129	alternate
NP_414566.1	b0025	alternate
NP_414566.1	NP_414566	alternate
NP_414567.1	ileS	primary
NP_414567.1	b0026	alternate
NP_414567.1	944761	alternate
NP_414567.1	16128020	alternate
NP_414567.1	NP_414567.1	alternate
NP_414567.1	ECK0027	alternate
NP_414567.1	JW0024	alternate
NP_414567.1	ilvS	alternate
NP_414567.1	16128020	alternate
NP_414567.1	944761	alternate
NP_414567.1	b0026	alternate
NP_414567.1	NP_414567	alternate
NP_414568.1	lspA	primary
NP_414568.1	b0027	alternate
NP_414568.1	944800	alternate
NP_414568.1	16128021	alternate
NP_414568.1	NP_414568.1	alternate
NP_414568.1	ECK0028	alternate
NP_414568.1	JW0025	alternate
NP_414568.1	16128021	alternate
NP_414568.1	944800	alternate
NP_414568.1	b0027	alternate
NP_414568.1	NP_414568	alternate
NP_414569.1	fkpB	primary
NP_414569.1	b0028	alternate
NP_414569.1	944807	alternate
NP_414569.1	16128022	alternate
NP_414569.1	NP_414569.1	alternate
NP_414569.1	ECK0029	alternate
NP_414569.1	JW0026	alternate
NP_414569.1	slpA	alternate
NP_414569.1	yaaD	alternate
NP_414569.1	16128022	alternate
NP_414569.1	944807	alternate
NP_414569.1	b0028	alternate
NP_414569.1	NP_414569	alternate
